n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
1440,1441,False,False,0.996133102676300,0.996133102676300,True,True,True,False,False
1446,1447,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1450,1451,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
1452,1453,False,True,0.996092478020189,0.996092478020189,True,True,True,True,True
1456,1457,False,False,0.995388579953886,0.995388579953886,True,True,True,False,False
1458,1459,False,True,0.996049267952591,0.996049267952591,True,True,True,True,True
1468,1469,False,False,0.994041170097508,0.994041170097508,True,True,True,False,False
1470,1471,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
1480,1481,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
1482,1483,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
1486,1487,False,True,0.991883116883117,0.991883116883117,True,True,True,True,True
1488,1489,False,True,0.996200814111262,0.996200814111262,True,True,True,True,True
1492,1493,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
1498,1499,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1500,1501,False,False,0.995929995929996,0.995929995929996,True,True,True,False,False
1506,1507,False,False,0.994036324207102,0.994036324207102,True,True,True,False,False
1510,1511,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1512,1513,False,False,0.996046051866496,0.996046051866496,True,True,True,False,False
1516,1517,False,False,0.994041170097508,0.994041170097508,True,True,True,False,False
1522,1523,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
1528,1529,False,False,0.995121951219512,0.995121951219512,True,True,True,False,False
1530,1531,False,True,0.995764092538286,0.995764092538286,True,True,True,True,True
1536,1537,False,False,0.996095656417765,0.996095656417765,True,True,True,False,False
1540,1541,False,False,0.994464343861934,0.994464343861934,True,True,True,False,False
1542,1543,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1548,1549,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
1552,1553,False,True,0.995446414051065,0.995446414051065,True,True,True,True,True
1558,1559,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1566,1567,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
1570,1571,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1572,1573,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1576,1577,False,False,0.993906154783669,0.993906154783669,True,True,True,False,False
1578,1579,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1582,1583,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1590,1591,False,False,0.995114006514658,0.995114006514658,True,True,True,False,False
1596,1597,False,True,0.995438996579247,0.995438996579247,True,True,True,True,True
1600,1601,False,True,0.995933306222041,0.995933306222041,True,True,True,True,True
1606,1607,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
1608,1609,False,True,0.996092478020189,0.996092478020189,True,True,True,True,True
1612,1613,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1618,1619,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
1620,1621,False,True,0.996278204233543,0.996278204233543,True,True,True,True,True
1626,1627,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
1632,1633,False,False,0.995813953488372,0.995813953488372,True,True,True,False,False
1636,1637,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
1638,1639,False,False,0.995764092538286,0.995764092538286,True,True,True,False,False
1642,1643,False,False,0.993501218521527,0.993501218521527,True,True,True,False,False
1648,1649,False,False,0.994797593887173,0.994797593887173,True,True,True,False,False
1650,1651,False,False,0.995438996579247,0.995438996579247,True,True,True,False,False
1656,1657,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
1660,1661,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
1662,1663,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
1666,1667,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
1668,1669,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
1678,1679,False,False,0.992691839220463,0.992691839220463,True,True,True,False,False
1680,1681,False,False,0.995810543465612,0.995810543465612,True,True,True,False,False
1690,1691,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
1692,1693,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
1696,1697,False,True,0.995662781241529,0.995662781241529,True,True,True,True,True
1698,1699,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
1702,1703,False,False,0.992416034669556,0.992416034669556,True,True,True,False,False
